id_plant;generation_2013_gwh;generation_2014_gwh;generation_2015_gwh;generation_2016_gwh;generation_2017_gwh;generation_2018_gwh;generation_2019_gwh
ARG0000001;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000002;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000003;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000004;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000005;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000006;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000007;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000008;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000009;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000015;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000016;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000017;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000022;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000023;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000024;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000025;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000026;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000027;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000028;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000029;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000030;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000031;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000032;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000034;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000035;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000036;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000037;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000038;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000039;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000040;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000041;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000042;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000043;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000044;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000045;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000046;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000047;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000048;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000049;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000050;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000054;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000055;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000056;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000057;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000058;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000059;NULL;NULL;NULL;NULL;NULL;NULL;NULL
