id_plant;id_country;name;commissioning_year;primary_fuel;capacity_mw;latitude;longitude
ARG0000001;ARG;PARANA;2001;Other;845.26;-33.354.900;-60.171.800
ARG0000002;ARG;SAN NICOLAS;1965;Coal;644.00;-33.356.200;-60.172.900
ARG0000003;ARG;CT ARRECIFES;NULL;Oil;20.00;-34.041.400;-60.129.700
ARG0000004;ARG;CT GENERAL VILLEGAS;NULL;Oil;23.49;-35.034.700;-62.998.100
ARG0000005;ARG;CT MAGDALENA;NULL;Oil;25.00;-35.100.100;-57.483.900
ARG0000006;ARG;MAR DE AJO;NULL;Gas;34.00;-36.720.800;-63.197.700
ARG0000007;ARG;MAR DEL PLATA (9 DE JULIO);NULL;Gas;201.30;-38.049.500;-57.546.000
ARG0000008;ARG;NECOCHEA;1969;Coal;206.00;-38.578.500;-58.710.800
ARG0000009;ARG;VILLA GESELL;NULL;Gas;130.00;-37.248.700;-56.997.300
ARG0000015;ARG;MAYOR BURATOVICH;NULL;Wind;2.02;-39.229.100;-62.649.700
ARG0000016;ARG;ORENSE;NULL;Oil;1.72;-38.685.100;-59.780.400
ARG0000017;ARG;PUNTA ALTA - CENTENARIO;NULL;Wind;1.80;-38.783.300;-61.898.400
ARG0000022;ARG;CT MIRAMAR I;NULL;Oil;20.00;-38.247.200;-57.824.200
ARG0000023;ARG;CT BRAGADO;NULL;Gas;49.80;-35.136.400;-60.431.100
ARG0000024;ARG;CT LAS ARMAS;NULL;Gas;10.40;-37.078.100;-57.818.100
ARG0000025;ARG;CT LAS ARMAS II;NULL;Gas;23.37;-37.078.100;-57.818.100
ARG0000026;ARG;CT OLAVARRIA;NULL;Gas;38.80;-36.943.900;-60.236.100
ARG0000027;ARG;CT PINAMAR;NULL;Gas;21.00;-37.095.300;-56.878.900
ARG0000028;ARG;CT CAPITAN SARMIENTO;NULL;Oil;5.00;-34.163.600;-59.768.300
ARG0000029;ARG;ATUCHA I;1974;Nuclear;370.00;-33.967.000;-59.205.900
ARG0000030;ARG;ATUCHA II;2014;Nuclear;745.00;-33.967.400;-59.204.500
ARG0000031;ARG;CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA;1990;Coal;620.00;-38.787.200;-62.253.600
ARG0000032;ARG;CT ECOENERGIA (PETROBRAS);NULL;Coal;13.20;-38.687.100;-62.396.100
ARG0000034;ARG;TENARIS SIDERCA CETE II;1998;Gas;163.20;-33.365.500;-60.143.500
ARG0000035;ARG;CT JUNIN;NULL;Oil;22.00;-34.570.800;-60.916.100
ARG0000036;ARG;CT LINCOLN;NULL;Oil;15.00;-34.857.800;-61.520.600
ARG0000037;ARG;CT PEHUAJO;NULL;Oil;22.40;-35.833.600;-61.875.800
ARG0000038;ARG;CT SALTO;NULL;Oil;22.50;-27.459.700;-65.605.500
ARG0000039;ARG;CT COLON BUENOS AIRES;NULL;Oil;15.30;-33.922.200;-61.076.900
ARG0000040;ARG;CT LA PLATA;NULL;Oil;40.40;-34.934.400;-58.016.000
ARG0000041;ARG;CT LOBOS;NULL;Oil;15.69;-35.191.700;-59.080.800
ARG0000042;ARG;CENTRAL TERMOELECTRICA GUILLERMO BROWN;NULL;Gas;524.00;-34.626.800;-58.543.800
ARG0000043;ARG;CENTRAL TERMOELECTRICA MANUEL BELGRANO;2009;Gas;868.20;-24.689.400;-65.042.500
ARG0000044;ARG;NUEVO PUERTO;1988;Gas;1217.70;-34.572.100;-58.383.500
ARG0000045;ARG;PUERTO NUEVO;1966;Coal;589.00;-34.575.400;-58.378.800
ARG0000046;ARG;COSTANERA;1984;Coal;1982.20;-34.626.000;-58.339.300
ARG0000047;ARG;EX CENTRAL BUENOS AIRES;NULL;Gas;321.00;-34.627.000;-58.338.200
ARG0000048;ARG;CAPITAL CATAMARCA - PREDIO CHOYA;NULL;Oil;5.73;-28.453.700;-65.784.100
ARG0000049;ARG;CAPITAL CATAMARCA - PREDIO EX CARCEL;NULL;Oil;7.08;-28.477.300;-65.787.200
ARG0000050;ARG;CAPITAL CATAMARCA - PREDIO RIPIERA;NULL;Oil;4.68;-28.468.400;-65.779.700
ARG0000054;ARG;CT CATAMARCA;NULL;Oil;19.20;-28.470.600;-65.764.700
ARG0000055;ARG;CT INTA CATAMARCA;NULL;Oil;7.04;-28.473.300;-65.727.500
ARG0000056;ARG;CT PARQUE INDUSTRIAL CATAMARCA;NULL;Oil;15.00;-28.533.900;-65.799.700
ARG0000057;ARG;CT TEREVINTOS;NULL;Oil;8.00;-28.428.900;-65.787.800
ARG0000058;ARG;CT TINOGASTA;NULL;Oil;15.00;-28.048.600;-67.566.700
ARG0000059;ARG;CT JUAN JOSE CASTELLI;NULL;Oil;15.00;-25.956.400;-60.620.400
ARG0000060;ARG;CT SAENZ PEÑA  II;NULL;Oil;15.00;-26.815.300;-60.412.500
ARG0000061;ARG;CT VILLA ANGELA;NULL;Oil;15.00;-27.580.800;-60.709.400
ARG0000062;ARG;CT SAENZ PEÑA  I;NULL;Oil;20.00;-26.815.600;-60.411.400
ARG0000065;ARG;CT CHARATA;NULL;Oil;19.40;-27.236.900;-61.193.900
ARG0000066;ARG;CT LAS PALMAS;NULL;Oil;6.00;-27.028.900;-58.699.700
ARG0000067;ARG;COMODORO RIVADAVIA - ANTONIO MORAN;NULL;Wind;16.56;-45.846.700;-67.496.400
ARG0000072;ARG;COMODORO RIVADAVIA;1990;Gas;141.02;-25.991.300;-54.627.800
ARG0000073;ARG;PUERTO MADRYN;NULL;Gas;42.00;-42.706.900;-65.104.800
ARG0000075;ARG;PARQUE EOLICO LOMA BLANCA IV (ENARSA);NULL;Wind;50.00;-43.090.700;-65.229.800
ARG0000076;ARG;PARQUE EOLICO RAWSON I (ENARSA);NULL;Wind;48.60;-43.352.200;-65.173.400
ARG0000077;ARG;PARQUE EOLICO RAWSON II (ENARSA);NULL;Wind;28.80;-43.352.200;-65.173.400
ARG0000078;ARG;PATAGONIA;2001;Gas;123.70;-45.793.400;-67.514.500
ARG0000079;ARG;FLORENTINO AMEGHINO;1963;Hydro;60.00;-43.699.600;-66.481.500
ARG0000080;ARG;FUTALEUFU;1978;Hydro;472.00;-43.128.800;-71.630.000
ARG0000081;ARG;PARQUE EOLICO DIADEMA;NULL;Wind;6.30;-45.745.800;-67.695.300
ARG0000082;ARG;PARQUE EOLICO EL TORDILLO;NULL;Wind;3.00;-45.850.700;-67.908.100
ARG0000083;ARG;CT ISLA VERDE;NULL;Oil;24.50;-33.242.500;-62.395.000
ARG0000085;ARG;BENJAMIN REOLIN;1966;Hydro;38.40;-32.188.300;-64.323.300
ARG0000086;ARG;CASSAFFOUSTH;1953;Hydro;17.28;-31.399.200;-64.200.600
ARG0000087;ARG;CRUZ DEL EJE;1943;Oil;5.05;-30.763.600;-64.753.800
ARG0000088;ARG;DEAN FUNES;1967;Gas;70.12;-31.393.400;-64.205.900
ARG0000089;ARG;FITZ SIMON;1943;Hydro;10.80;-32.178.400;-64.420.700
ARG0000090;ARG;GENERAL LEVALLE;NULL;Gas;72.78;-34.036.400;-63.921.700
ARG0000091;ARG;ISLA VERDE;NULL;Oil;3.12;-33.242.200;-62.394.600
ARG0000094;ARG;LA VIÑA;1958;Hydro;16.00;-31.870.800;-65.034.900
ARG0000096;ARG;LOS MOLINOS I;1957;Hydro;59.04;-31.838.000;-64.445.200
ARG0000097;ARG;LOS MOLINOS II;1958;Hydro;4.50;-31.838.000;-64.445.200
ARG0000099;ARG;PIEDRAS MORAS;1995;Hydro;6.30;-32.167.500;-64.243.800
ARG0000100;ARG;PILAR  BICENTENARIO;2010;Gas;467.00;-31.665.100;-63.831.400
ARG0000101;ARG;PILAR ZANICHELLI;1971;Coal;216.00;-31.666.200;-63.834.400
ARG0000103;ARG;RIO CUARTO;1975;Gas;35.57;-33.161.400;-64.364.900
ARG0000104;ARG;RIO GRANDE;1986;Hydro;750.00;-53.786.200;-67.722.200
ARG0000105;ARG;SAN FRANCISCO;1979;Gas;40.00;-31.439.100;-62.111.900
ARG0000107;ARG;SAN ROQUE;1944;Hydro;26.00;-31.353.300;-64.393.800
ARG0000108;ARG;SUDOESTE;1981;Gas;140.00;-31.463.000;-64.238.800
ARG0000109;ARG;VILLA MARIA (LAS PLAYAS);1971;Gas;48.00;-39.087.200;-67.088.100
ARG0000110;ARG;CT 13 DE JULIO;NULL;Gas;26.00;-32.161.300;-64.153.700
ARG0000111;ARG;MODESTO MARANZANA;2003;Gas;250.00;-33.160.800;-64.365.600
ARG0000112;ARG;EMBALSE;1984;Nuclear;648.00;-32.231.600;-64.442.200
ARG0000113;ARG;CT BELL VILLE;NULL;Oil;15.62;-32.610.300;-62.686.400
ARG0000114;ARG;CT CORRIENTES;NULL;Oil;20.00;-27.470.800;-58.804.200
ARG0000116;ARG;CAA CATI;NULL;Oil;1.42;-27.753.400;-57.620.500
ARG0000117;ARG;CORRIENTES;NULL;Oil;1.40;-27.470.800;-58.804.200
ARG0000119;ARG;ESQUINA;NULL;Oil;2.22;-30.010.200;-59.532.100
ARG0000121;ARG;GOYA;NULL;Oil;1.33;-29.138.800;-59.227.700
ARG0000123;ARG;ITA IBATE;NULL;Oil;1.05;-27.425.200;-57.334.100
ARG0000124;ARG;ITUZAINGO;NULL;Oil;1.33;-27.578.500;-56.672.600
ARG0000125;ARG;LA CRUZ;NULL;Oil;1.33;-29.176.200;-56.639.400
ARG0000128;ARG;MBURUCUYA;NULL;Oil;1.04;-28.044.100;-58.228.500
ARG0000129;ARG;MERCEDES;NULL;Oil;2.31;-29.180.800;-58.079.300
ARG0000132;ARG;PASO DE LOS LIBRES;NULL;Oil;2.14;-29.714.800;-57.093.300
ARG0000133;ARG;PERUGORRIA;NULL;Oil;1.11;-29.340.000;-58.607.700
ARG0000135;ARG;SANTO TOME;NULL;Oil;2.68;-28.549.700;-56.072.200
ARG0000136;ARG;YACYRETA;1996;Hydro;1550.00;-27.482.700;-56.739.700
ARG0000137;ARG;GOYA (ELECTROPATAGONIA SA);NULL;Gas;17.30;-29.138.800;-59.227.700
ARG0000138;ARG;CT GOYA;NULL;Oil;13.00;-29.158.300;-59.272.800
ARG0000139;ARG;CT ESQUINA;NULL;Oil;16.50;-30.055.000;-59.529.400
ARG0000141;ARG;CT PASO DE LA PATRIA;NULL;Oil;7.20;-27.323.600;-58.566.700
ARG0000142;ARG;CT SANTA ROSA;NULL;Oil;6.00;-28.262.800;-58.000.600
ARG0000143;ARG;CT VIALE;NULL;Oil;10.00;-31.891.900;-60.010.600
ARG0000144;ARG;SALTO GRANDE (MITAD ARGENTINA);1980;Hydro;945.00;-31.389.100;-68.675.200
ARG0000147;ARG;CT CONCEPCION DEL URUGUAY;NULL;Gas;41.78;-32.476.700;-58.267.200
ARG0000148;ARG;CT PARANA;NULL;Gas;40.00;-31.776.400;-60.455.300
ARG0000149;ARG;CT FORMOSA II;NULL;Oil;30.00;-26.176.400;-58.209.400
ARG0000152;ARG;CT INGENIERO JUAREZ;NULL;Oil;4.00;-23.907.800;-61.834.200
ARG0000153;ARG;CT LAGUNA BLANCA;NULL;Oil;7.00;-25.128.600;-58.259.700
ARG0000154;ARG;CT PIRANE;NULL;Oil;16.25;-25.678.600;-59.075.600
ARG0000155;ARG;CENTRAL TERMICA REMEDIOS DE ESCALADA;NULL;Oil;25.00;-34.720.800;-58.388.100
ARG0000156;ARG;ALMIRANTE BROWN;NULL;Oil;25.00;-34.838.600;-58.403.300
ARG0000157;ARG;DIQUE;1969;Gas;68.44;-34.890.200;-57.933.000
ARG0000158;ARG;DOCK SUD;1999;Gas;872.30;-34.653.300;-58.342.000
ARG0000159;ARG;C.T. SAN VICENTE;NULL;Oil;27.60;-35.024.100;-58.423.700
ARG0000160;ARG;CT ENSENADA DE BARRAGAN;NULL;Gas;567.00;-34.859.700;-57.955.700
ARG0000161;ARG;CT SAN MARTIN NORTE III;NULL;Oil;5.10;-34.525.200;-58.620.600
ARG0000162;ARG;CT SAN MIGUEL NORTE III;NULL;Oil;11.50;-34.525.200;-58.620.600
